Date,PnL_Order,PnL_Category,PnL_Line,Entity,BusinessUnit,Prior_Year,Budget,Actual
2024-06-01,14,Operating Expenses,Facilities & Rent,France,Services,-33681,-36309,-34606
2024-06-01,15,Operating Expenses,Depreciation & Amort.,France,Services,-31007,-33283,-31879
2024-06-01,16,Other,Interest Income,France,Services,6438,7262,7176
2024-06-01,17,Other,Interest Expense,France,Services,-15641,-16944,-16218
2024-06-01,18,Other,FX Gain/(Loss),France,Services,8607,9077,8976
2024-06-01,19,Other,Other Income/(Expense),France,Services,-10884,-12103,-12034
2024-06-01,20,Other,Income Tax,France,Services,-49133,-54463,-55207
2024-06-01,1,Revenue,Product Revenue,France,Hardware,539990,571526,562672
2024-06-01,2,Revenue,Subscription Revenue,France,Hardware,389156,428645,436415
2024-06-01,3,Revenue,Service Revenue,France,Hardware,226332,250043,243203
2024-06-01,4,Revenue,Support & Maintenance,France,Hardware,114853,128593,128694
2024-06-01,5,COGS,Direct Materials,France,Hardware,-194432,-209784,-212957
2024-06-01,6,COGS,Direct Labor,France,Hardware,-175373,-193647,-190677
2024-06-01,7,COGS,Cloud & Hosting,France,Hardware,-85950,-96823,-98609
2024-06-01,8,COGS,Support Delivery,France,Hardware,-65121,-72617,-71999
2024-06-01,9,Operating Expenses,Sales,France,Hardware,-136411,-145235,-143391
2024-06-01,10,Operating Expenses,Marketing,France,Hardware,-108027,-121029,-119132
2024-06-01,11,Operating Expenses,Research & Development,France,Hardware,-157399,-177509,-168370
2024-06-01,12,Operating Expenses,General & Administrative,France,Hardware,-95126,-104892,-106464
2024-06-01,13,Operating Expenses,IT & Systems,France,Hardware,-51025,-56480,-56735
2024-06-01,14,Operating Expenses,Facilities & Rent,France,Hardware,-44247,-48412,-48561
2024-06-01,15,Operating Expenses,Depreciation & Amort.,France,Hardware,-39631,-44377,-42088
2024-06-01,16,Other,Interest Income,France,Hardware,8933,9682,9250
2024-06-01,17,Other,Interest Expense,France,Hardware,-20411,-22592,-21652
2024-06-01,18,Other,FX Gain/(Loss),France,Hardware,-10909,-12103,-12041
2024-06-01,19,Other,Other Income/(Expense),France,Hardware,-15172,-16137,-15286
2024-06-01,20,Other,Income Tax,France,Hardware,-63664,-72617,-71098
2024-06-01,1,Revenue,Product Revenue,Germany,Software,768486,857290,870209
2024-06-01,2,Revenue,Subscription Revenue,Germany,Software,591727,642967,633778
2024-06-01,3,Revenue,Service Revenue,Germany,Software,354184,375064,371262
2024-06-01,4,Revenue,Support & Maintenance,Germany,Software,171852,192890,193167
2024-06-01,5,COGS,Direct Materials,Germany,Software,-291587,-314676,-303517
2024-06-01,6,COGS,Direct Labor,Germany,Software,-264353,-290470,-292504
2024-06-01,7,COGS,Cloud & Hosting,Germany,Software,-137630,-145235,-138917
2024-06-01,8,COGS,Support Delivery,Germany,Software,-99701,-108926,-108695
2024-06-01,9,Operating Expenses,Sales,Germany,Software,-206317,-217852,-219655
2024-06-01,10,Operating Expenses,Marketing,Germany,Software,-164196,-181544,-176963
2024-06-01,11,Operating Expenses,Research & Development,Germany,Software,-241601,-266264,-252167
2024-06-01,12,Operating Expenses,General & Administrative,Germany,Software,-139552,-157338,-152849
2024-06-01,13,Operating Expenses,IT & Systems,Germany,Software,-78668,-84720,-84086
2024-06-01,14,Operating Expenses,Facilities & Rent,Germany,Software,-65192,-72617,-73198
2024-06-01,15,Operating Expenses,Depreciation & Amort.,Germany,Software,-62889,-66566,-66636
2024-06-01,16,Other,Interest Income,Germany,Software,12819,14523,14576
2024-06-01,17,Other,Interest Expense,Germany,Software,-32081,-33888,-33624
2024-06-01,18,Other,FX Gain/(Loss),Germany,Software,16536,18154,18291
2024-06-01,19,Other,Other Income/(Expense),Germany,Software,-22855,-24206,-24679
2024-06-01,20,Other,Income Tax,Germany,Software,-100262,-108926,-109814
2024-06-01,1,Revenue,Product Revenue,Germany,Services,479611,514374,504082
2024-06-01,2,Revenue,Subscription Revenue,Germany,Services,356685,385780,380474
2024-06-01,3,Revenue,Service Revenue,Germany,Services,198491,225039,218487
2024-06-01,4,Revenue,Support & Maintenance,Germany,Services,109446,115734,113593
2024-06-01,5,COGS,Direct Materials,Germany,Services,-168056,-188805,-179324
2024-06-01,6,COGS,Direct Labor,Germany,Services,-153976,-174282,-172057
2024-06-01,7,COGS,Cloud & Hosting,Germany,Services,-80219,-87141,-84398
2024-06-01,8,COGS,Support Delivery,Germany,Services,-59268,-65356,-65315
2024-06-01,9,Operating Expenses,Sales,Germany,Services,-120616,-130711,-126480
2024-06-01,10,Operating Expenses,Marketing,Germany,Services,-102508,-108926,-107002
2024-06-01,11,Operating Expenses,Research & Development,Germany,Services,-150155,-159758,-155325
2024-06-01,12,Operating Expenses,General & Administrative,Germany,Services,-87376,-94403,-93195
2024-06-01,13,Operating Expenses,IT & Systems,Germany,Services,-46966,-50832,-49532
2024-06-01,14,Operating Expenses,Facilities & Rent,Germany,Services,-40932,-43570,-43004
2024-06-01,15,Operating Expenses,Depreciation & Amort.,Germany,Services,-37071,-39940,-39121
2024-06-01,16,Other,Interest Income,Germany,Services,8108,8714,8514
2024-06-01,17,Other,Interest Expense,Germany,Services,-19158,-20333,-19912
2024-06-01,18,Other,FX Gain/(Loss),Germany,Services,-9826,-10893,-10697
2024-06-01,19,Other,Other Income/(Expense),Germany,Services,-13122,-14523,-14752
2024-06-01,20,Other,Income Tax,Germany,Services,-60614,-65356,-66525
2024-06-01,1,Revenue,Product Revenue,Germany,Hardware,614296,685832,693076
2024-06-01,2,Revenue,Subscription Revenue,Germany,Hardware,479724,514374,493218
2024-06-01,3,Revenue,Service Revenue,Germany,Hardware,275973,300051,296558
2024-06-01,4,Revenue,Support & Maintenance,Germany,Hardware,136826,154312,147585
2024-06-01,5,COGS,Direct Materials,Germany,Hardware,-225855,-251741,-239656
2024-06-01,6,COGS,Direct Labor,Germany,Hardware,-214880,-232376,-236343
2024-06-01,7,COGS,Cloud & Hosting,Germany,Hardware,-109359,-116188,-111830
2024-06-01,8,COGS,Support Delivery,Germany,Hardware,-81227,-87141,-87480
2024-06-01,9,Operating Expenses,Sales,Germany,Hardware,-159929,-174282,-164648
2024-06-01,10,Operating Expenses,Marketing,Germany,Hardware,-137724,-145235,-144470
2024-06-01,11,Operating Expenses,Research & Development,Germany,Hardware,-197240,-213011,-202812
2024-06-01,12,Operating Expenses,General & Administrative,Germany,Hardware,-113602,-125870,-123737
2024-06-01,13,Operating Expenses,IT & Systems,Germany,Hardware,-60989,-67776,-64435
2024-06-01,14,Operating Expenses,Facilities & Rent,Germany,Hardware,-53072,-58094,-57790
2024-06-01,15,Operating Expenses,Depreciation & Amort.,Germany,Hardware,-50022,-53253,-50972
2024-06-01,16,Other,Interest Income,Germany,Hardware,10866,11619,11480
2024-06-01,17,Other,Interest Expense,Germany,Hardware,-25472,-27111,-26291
2024-06-01,18,Other,FX Gain/(Loss),Germany,Hardware,-13174,-14523,-14139
2024-06-01,19,Other,Other Income/(Expense),Germany,Hardware,-18040,-19365,-19304
2024-06-01,20,Other,Income Tax,Germany,Hardware,-77306,-87141,-82645
2024-06-01,1,Revenue,Product Revenue,United Kingdom,Software,606277,642967,650879
2024-06-01,2,Revenue,Subscription Revenue,United Kingdom,Software,428770,482225,488512
2024-06-01,3,Revenue,Service Revenue,United Kingdom,Software,256356,281298,275040
2024-06-01,4,Revenue,Support & Maintenance,United Kingdom,Software,131903,144668,142634
2024-06-01,5,COGS,Direct Materials,United Kingdom,Software,-216439,-236007,-237334
2024-06-01,6,COGS,Direct Labor,United Kingdom,Software,-202392,-217852,-205815
2024-06-01,7,COGS,Cloud & Hosting,United Kingdom,Software,-97393,-108926,-108778
2024-06-01,8,COGS,Support Delivery,United Kingdom,Software,-75368,-81695,-80309
2024-06-01,9,Operating Expenses,Sales,United Kingdom,Software,-152088,-163389,-157213
2024-06-01,10,Operating Expenses,Marketing,United Kingdom,Software,-119934,-136158,-136148
2024-06-01,11,Operating Expenses,Research & Development,United Kingdom,Software,-175049,-199698,-190284
2024-06-01,12,Operating Expenses,General & Administrative,United Kingdom,Software,-106709,-118003,-113228
2024-06-01,13,Operating Expenses,IT & Systems,United Kingdom,Software,-55645,-63540,-63350
2024-06-01,14,Operating Expenses,Facilities & Rent,United Kingdom,Software,-51142,-54463,-51504
2024-06-01,15,Operating Expenses,Depreciation & Amort.,United Kingdom,Software,-44954,-49925,-47094
2024-06-01,16,Other,Interest Income,United Kingdom,Software,10034,10893,10985
2024-06-01,17,Other,Interest Expense,United Kingdom,Software,-22695,-25416,-25364
2024-06-01,18,Other,FX Gain/(Loss),United Kingdom,Software,-12537,-13616,-12954
2024-06-01,19,Other,Other Income/(Expense),United Kingdom,Software,16542,18154,17512
2024-06-01,20,Other,Income Tax,United Kingdom,Software,-72356,-81695,-77967
2024-06-01,1,Revenue,Product Revenue,United Kingdom,Services,365688,385780,389170
2024-06-01,2,Revenue,Subscription Revenue,United Kingdom,Services,262111,289335,289235
2024-06-01,3,Revenue,Service Revenue,United Kingdom,Services,159113,168779,159650
2024-06-01,4,Revenue,Support & Maintenance,United Kingdom,Services,77110,86801,83263
2024-06-01,5,COGS,Direct Materials,United Kingdom,Services,-125805,-141604,-144202
2024-06-01,6,COGS,Direct Labor,United Kingdom,Services,-115099,-130711,-129124
2024-06-01,7,COGS,Cloud & Hosting,United Kingdom,Services,-57405,-65356,-63842
2024-06-01,8,COGS,Support Delivery,United Kingdom,Services,-43304,-49017,-48415
2024-06-01,9,Operating Expenses,Sales,United Kingdom,Services,-90831,-98034,-95930
2024-06-01,10,Operating Expenses,Marketing,United Kingdom,Services,-75825,-81695,-80454
2024-06-01,11,Operating Expenses,Research & Development,United Kingdom,Services,-109904,-119819,-116029
2024-06-01,12,Operating Expenses,General & Administrative,United Kingdom,Services,-63857,-70802,-69830
2024-06-01,13,Operating Expenses,IT & Systems,United Kingdom,Services,-34846,-38124,-36207
2024-06-01,14,Operating Expenses,Facilities & Rent,United Kingdom,Services,-30749,-32678,-31035
2024-06-01,15,Operating Expenses,Depreciation & Amort.,United Kingdom,Services,-28322,-29955,-29784
2024-06-01,16,Other,Interest Income,United Kingdom,Services,6004,6536,6282
2024-06-01,17,Other,Interest Expense,United Kingdom,Services,-14125,-15250,-15081
2024-06-01,18,Other,FX Gain/(Loss),United Kingdom,Services,-7230,-8169,-7993
2024-06-01,19,Other,Other Income/(Expense),United Kingdom,Services,10243,10893,10628
2024-06-01,20,Other,Income Tax,United Kingdom,Services,-45855,-49017,-46154
2024-06-01,1,Revenue,Product Revenue,United Kingdom,Hardware,456447,514374,504350
2024-06-01,2,Revenue,Subscription Revenue,United Kingdom,Hardware,359862,385780,373392
2024-06-01,3,Revenue,Service Revenue,United Kingdom,Hardware,208764,225039,218960
2024-06-01,4,Revenue,Support & Maintenance,United Kingdom,Hardware,104336,115734,110241
2024-06-01,5,COGS,Direct Materials,United Kingdom,Hardware,-170928,-188805,-180252
2024-06-01,6,COGS,Direct Labor,United Kingdom,Hardware,-153830,-174282,-170611
2024-06-01,7,COGS,Cloud & Hosting,United Kingdom,Hardware,-81348,-87141,-82392
2024-06-01,8,COGS,Support Delivery,United Kingdom,Hardware,-59208,-65356,-66099
2024-06-01,9,Operating Expenses,Sales,United Kingdom,Hardware,-123214,-130711,-129736
2024-06-01,10,Operating Expenses,Marketing,United Kingdom,Hardware,-97832,-108926,-105617
2024-06-01,11,Operating Expenses,Research & Development,United Kingdom,Hardware,-141512,-159758,-157117
2024-06-01,12,Operating Expenses,General & Administrative,United Kingdom,Hardware,-86315,-94403,-91157
2024-06-01,13,Operating Expenses,IT & Systems,United Kingdom,Hardware,-47974,-50832,-50586
2024-06-01,14,Operating Expenses,Facilities & Rent,United Kingdom,Hardware,-38384,-43570,-42646
2024-06-01,15,Operating Expenses,Depreciation & Amort.,United Kingdom,Hardware,-37724,-39940,-38232
2024-06-01,16,Other,Interest Income,United Kingdom,Hardware,7847,8714,8292
2024-06-01,17,Other,Interest Expense,United Kingdom,Hardware,-17869,-20333,-19502
2024-06-01,18,Other,FX Gain/(Loss),United Kingdom,Hardware,9901,10893,10267
2024-06-01,19,Other,Other Income/(Expense),United Kingdom,Hardware,-12985,-14523,-14282
2024-06-01,20,Other,Income Tax,United Kingdom,Hardware,-60713,-65356,-64185
2024-06-01,1,Revenue,Product Revenue,Spain,Software,392325,428645,428403
2024-06-01,2,Revenue,Subscription Revenue,Spain,Software,282623,321484,304725
2024-06-01,3,Revenue,Service Revenue,Spain,Software,167105,187532,183063
2024-06-01,4,Revenue,Support & Maintenance,Spain,Software,88724,96445,96831
2024-06-01,5,COGS,Direct Materials,Spain,Software,-145390,-157338,-156332
2024-06-01,6,COGS,Direct Labor,Spain,Software,-127695,-145235,-144895
2024-06-01,7,COGS,Cloud & Hosting,Spain,Software,-64333,-72617,-72376
2024-06-01,8,COGS,Support Delivery,Spain,Software,-49345,-54463,-52576
2024-06-01,9,Operating Expenses,Sales,Spain,Software,-101916,-108926,-108649
2024-06-01,10,Operating Expenses,Marketing,Spain,Software,-84540,-90772,-90955
2024-06-01,11,Operating Expenses,Research & Development,Spain,Software,-120953,-133132,-133533
2024-06-01,12,Operating Expenses,General & Administrative,Spain,Software,-71110,-78669,-77990
2024-06-01,13,Operating Expenses,IT & Systems,Spain,Software,-37917,-42360,-42207
2024-06-01,14,Operating Expenses,Facilities & Rent,Spain,Software,-31853,-36309,-35966
2024-06-01,15,Operating Expenses,Depreciation & Amort.,Spain,Software,-30496,-33283,-32868
2024-06-01,16,Other,Interest Income,Spain,Software,6752,7262,7119
2024-06-01,17,Other,Interest Expense,Spain,Software,-14961,-16944,-16507
2024-06-01,18,Other,FX Gain/(Loss),Spain,Software,8224,9077,8955
2024-06-01,19,Other,Other Income/(Expense),Spain,Software,-11177,-12103,-11569
2024-06-01,20,Other,Income Tax,Spain,Software,-47897,-54463,-54788
2024-06-01,1,Revenue,Product Revenue,Spain,Services,235057,257187,255025
2024-06-01,2,Revenue,Subscription Revenue,Spain,Services,173397,192890,185289
2024-06-01,3,Revenue,Service Revenue,Spain,Services,99822,112519,110060
2024-06-01,4,Revenue,Support & Maintenance,Spain,Services,54036,57867,57016
2024-06-01,5,COGS,Direct Materials,Spain,Services,-83841,-94403,-94502
2024-06-01,6,COGS,Direct Labor,Spain,Services,-82181,-87141,-83399
2024-06-01,7,COGS,Cloud & Hosting,Spain,Services,-38700,-43570,-42144
2024-06-01,8,COGS,Support Delivery,Spain,Services,-30466,-32678,-31142
2024-06-01,9,Operating Expenses,Sales,Spain,Services,-60243,-65356,-62015
2024-06-01,10,Operating Expenses,Marketing,Spain,Services,-48201,-54463,-52953
2024-06-01,11,Operating Expenses,Research & Development,Spain,Services,-74780,-79879,-79083
2024-06-01,12,Operating Expenses,General & Administrative,Spain,Services,-43188,-47201,-46682
2024-06-01,13,Operating Expenses,IT & Systems,Spain,Services,-22529,-25416,-25075
2024-06-01,14,Operating Expenses,Facilities & Rent,Spain,Services,-19511,-21785,-21213
2024-06-01,15,Operating Expenses,Depreciation & Amort.,Spain,Services,-17746,-19970,-19696
2024-06-01,16,Other,Interest Income,Spain,Services,4122,4357,4301
2024-06-01,17,Other,Interest Expense,Spain,Services,-9512,-10166,-10309
2024-06-01,18,Other,FX Gain/(Loss),Spain,Services,-4785,-5446,-5265
2024-06-01,19,Other,Other Income/(Expense),Spain,Services,-6639,-7262,-7377
2024-06-01,20,Other,Income Tax,Spain,Services,-30326,-32678,-31100
2024-06-01,1,Revenue,Product Revenue,Spain,Hardware,317641,342916,345472
2024-06-01,2,Revenue,Subscription Revenue,Spain,Hardware,225894,257187,253688
2024-06-01,3,Revenue,Service Revenue,Spain,Hardware,135595,150026,150549
2024-06-01,4,Revenue,Support & Maintenance,Spain,Hardware,72302,77156,78493
2024-06-01,5,COGS,Direct Materials,Spain,Hardware,-117945,-125870,-120708
2024-06-01,6,COGS,Direct Labor,Spain,Hardware,-108895,-116188,-112559
2024-06-01,7,COGS,Cloud & Hosting,Spain,Hardware,-51224,-58094,-58933
2024-06-01,8,COGS,Support Delivery,Spain,Hardware,-40189,-43570,-41637
2024-06-01,9,Operating Expenses,Sales,Spain,Hardware,-79595,-87141,-85974
2024-06-01,10,Operating Expenses,Marketing,Spain,Hardware,-67003,-72617,-72825
2024-06-01,11,Operating Expenses,Research & Development,Spain,Hardware,-100965,-106506,-103034
2024-06-01,12,Operating Expenses,General & Administrative,Spain,Hardware,-58131,-62935,-63327
2024-06-01,13,Operating Expenses,IT & Systems,Spain,Hardware,-31678,-33888,-33011
2024-06-01,14,Operating Expenses,Facilities & Rent,Spain,Hardware,-27273,-29047,-27740
2024-06-01,15,Operating Expenses,Depreciation & Amort.,Spain,Hardware,-24508,-26626,-26687
2024-06-01,16,Other,Interest Income,Spain,Hardware,5207,5809,5559
2024-06-01,17,Other,Interest Expense,Spain,Hardware,-12396,-13555,-13187
2024-06-01,18,Other,FX Gain/(Loss),Spain,Hardware,-6538,-7262,-7191
2024-06-01,19,Other,Other Income/(Expense),Spain,Hardware,9060,9682,9846
2024-06-01,20,Other,Income Tax,Spain,Hardware,-40900,-43570,-43849
2024-06-01,1,Revenue,Product Revenue,Italy,Software,458474,500086,486778
2024-06-01,2,Revenue,Subscription Revenue,Italy,Software,329531,375064,379562
2024-06-01,3,Revenue,Service Revenue,Italy,Software,199341,218787,207809
2024-06-01,4,Revenue,Support & Maintenance,Italy,Software,104903,112519,113017
2024-06-01,5,COGS,Direct Materials,Italy,Software,-166868,-183561,-174767
2024-06-01,6,COGS,Direct Labor,Italy,Software,-159936,-169441,-166283
2024-06-01,7,COGS,Cloud & Hosting,Italy,Software,-79129,-84720,-81787
2024-06-01,8,COGS,Support Delivery,Italy,Software,-58025,-63540,-61501
2024-06-01,9,Operating Expenses,Sales,Italy,Software,-112676,-127081,-129568
2024-06-01,10,Operating Expenses,Marketing,Italy,Software,-98133,-105900,-99782
2024-06-01,11,Operating Expenses,Research & Development,Italy,Software,-139209,-155321,-148876
2024-06-01,12,Operating Expenses,General & Administrative,Italy,Software,-82423,-91780,-88741
2024-06-01,13,Operating Expenses,IT & Systems,Italy,Software,-44864,-49420,-47931
2024-06-01,14,Operating Expenses,Facilities & Rent,Italy,Software,-39908,-42360,-42433
2024-06-01,15,Operating Expenses,Depreciation & Amort.,Italy,Software,-34515,-38830,-39013
2024-06-01,16,Other,Interest Income,Italy,Software,7700,8472,8205
2024-06-01,17,Other,Interest Expense,Italy,Software,-17941,-19768,-19938
2024-06-01,18,Other,FX Gain/(Loss),Italy,Software,-9271,-10590,-10796
2024-06-01,19,Other,Other Income/(Expense),Italy,Software,12552,14120,13964
2024-06-01,20,Other,Income Tax,Italy,Software,-56870,-63540,-62942
2024-06-01,1,Revenue,Product Revenue,Italy,Services,263553,300051,304026
2024-06-01,2,Revenue,Subscription Revenue,Italy,Services,203434,225039,229058
2024-06-01,3,Revenue,Service Revenue,Italy,Services,122997,131272,133368
2024-06-01,4,Revenue,Support & Maintenance,Italy,Services,62905,67512,68545
2024-06-01,5,COGS,Direct Materials,Italy,Services,-102984,-110136,-104289
2024-06-01,6,COGS,Direct Labor,Italy,Services,-89187,-101664,-100346
2024-06-01,7,COGS,Cloud & Hosting,Italy,Services,-46879,-50832,-49740
2024-06-01,8,COGS,Support Delivery,Italy,Services,-33677,-38124,-38079
2024-06-01,9,Operating Expenses,Sales,Italy,Services,-67314,-76248,-75352
2024-06-01,10,Operating Expenses,Marketing,Italy,Services,-56789,-63540,-61296
2024-06-01,11,Operating Expenses,Research & Development,Italy,Services,-85993,-93192,-91824
2024-06-01,12,Operating Expenses,General & Administrative,Italy,Services,-52143,-55068,-54308
2024-06-01,13,Operating Expenses,IT & Systems,Italy,Services,-27347,-29652,-28301
2024-06-01,14,Operating Expenses,Facilities & Rent,Italy,Services,-23191,-25416,-24996
2024-06-01,15,Operating Expenses,Depreciation & Amort.,Italy,Services,-20613,-23298,-22825
2024-06-01,16,Other,Interest Income,Italy,Services,4620,5083,4870
2024-06-01,17,Other,Interest Expense,Italy,Services,-10493,-11861,-11213
2024-06-01,18,Other,FX Gain/(Loss),Italy,Services,-5664,-6354,-6419
2024-06-01,19,Other,Other Income/(Expense),Italy,Services,7732,8472,8524
2024-06-01,20,Other,Income Tax,Italy,Services,-33576,-38124,-36714
2024-06-01,1,Revenue,Product Revenue,Italy,Hardware,367171,400068,404738
2024-06-01,2,Revenue,Subscription Revenue,Italy,Hardware,267372,300051,300004
2024-06-01,3,Revenue,Service Revenue,Italy,Hardware,158875,175030,172814
2024-06-01,4,Revenue,Support & Maintenance,Italy,Hardware,82633,90015,90569
2024-06-01,5,COGS,Direct Materials,Italy,Hardware,-129891,-146849,-147960
2024-06-01,6,COGS,Direct Labor,Italy,Hardware,-120131,-135553,-136002
2024-06-01,7,COGS,Cloud & Hosting,Italy,Hardware,-62743,-67776,-64307
2024-06-01,8,COGS,Support Delivery,Italy,Hardware,-47099,-50832,-49048
2024-06-01,9,Operating Expenses,Sales,Italy,Hardware,-95274,-101664,-100444
2024-06-01,10,Operating Expenses,Marketing,Italy,Hardware,-74877,-84720,-82477
2024-06-01,11,Operating Expenses,Research & Development,Italy,Hardware,-110376,-124257,-124338
2024-06-01,12,Operating Expenses,General & Administrative,Italy,Hardware,-67992,-73424,-69380
2024-06-01,13,Operating Expenses,IT & Systems,Italy,Hardware,-37355,-39536,-39229
2024-06-01,14,Operating Expenses,Facilities & Rent,Italy,Hardware,-30932,-33888,-32257
2024-06-01,15,Operating Expenses,Depreciation & Amort.,Italy,Hardware,-27267,-31064,-29705
2024-06-01,16,Other,Interest Income,Italy,Hardware,6214,6778,6385
2024-06-01,17,Other,Interest Expense,Italy,Hardware,-14178,-15814,-15587
2024-06-01,18,Other,FX Gain/(Loss),Italy,Hardware,8001,8472,8167
2024-06-01,19,Other,Other Income/(Expense),Italy,Hardware,10148,11296,10942
2024-06-01,20,Other,Income Tax,Italy,Hardware,-46524,-50832,-48902
2024-06-01,1,Revenue,Product Revenue,United States,Software,1057066,1143053,1125047
2024-06-01,2,Revenue,Subscription Revenue,United States,Software,766584,857290,856033
2024-06-01,3,Revenue,Service Revenue,United States,Software,460745,500086,493134
2024-06-01,4,Revenue,Support & Maintenance,United States,Software,234830,257187,242252
2024-06-01,5,COGS,Direct Materials,United States,Software,-396929,-419568,-418774
2024-06-01,6,COGS,Direct Labor,United States,Software,-358523,-387293,-372441
2024-06-01,7,COGS,Cloud & Hosting,United States,Software,-170578,-193647,-191904
2024-06-01,8,COGS,Support Delivery,United States,Software,-130528,-145235,-137898
2024-06-01,9,Operating Expenses,Sales,United States,Software,-263492,-290470,-291013
2024-06-01,10,Operating Expenses,Marketing,United States,Software,-224450,-242058,-241681
2024-06-01,11,Operating Expenses,Research & Development,United States,Software,-312868,-355019,-357128
2024-06-01,12,Operating Expenses,General & Administrative,United States,Software,-188588,-209784,-200918
2024-06-01,13,Operating Expenses,IT & Systems,United States,Software,-99784,-112961,-109599
2024-06-01,14,Operating Expenses,Facilities & Rent,United States,Software,-87286,-96823,-96557
2024-06-01,15,Operating Expenses,Depreciation & Amort.,United States,Software,-83277,-88755,-83665
2024-06-01,16,Other,Interest Income,United States,Software,17208,19365,19008
2024-06-01,17,Other,Interest Expense,United States,Software,-41403,-45184,-43866
2024-06-01,18,Other,FX Gain/(Loss),United States,Software,22478,24206,24667
2024-06-01,19,Other,Other Income/(Expense),United States,Software,29708,32274,32674
2024-06-01,20,Other,Income Tax,United States,Software,-136507,-145235,-147251
2024-06-01,1,Revenue,Product Revenue,United States,Services,640132,685832,679309
2024-06-01,2,Revenue,Subscription Revenue,United States,Services,457183,514374,505122
2024-06-01,3,Revenue,Service Revenue,United States,Services,274310,300051,291147
2024-06-01,4,Revenue,Support & Maintenance,United States,Services,139445,154312,152451
2024-06-01,5,COGS,Direct Materials,United States,Services,-232994,-251741,-244829
2024-06-01,6,COGS,Direct Labor,United States,Services,-208561,-232376,-230535
2024-06-01,7,COGS,Cloud & Hosting,United States,Services,-105852,-116188,-117030
2024-06-01,8,COGS,Support Delivery,United States,Services,-81274,-87141,-88238
2024-06-01,9,Operating Expenses,Sales,United States,Services,-155705,-174282,-175764
2024-06-01,10,Operating Expenses,Marketing,United States,Services,-134057,-145235,-143987
2024-06-01,11,Operating Expenses,Research & Development,United States,Services,-189716,-213011,-215569
2024-06-01,12,Operating Expenses,General & Administrative,United States,Services,-118402,-125870,-123563
2024-06-01,13,Operating Expenses,IT & Systems,United States,Services,-60540,-67776,-63836
2024-06-01,14,Operating Expenses,Facilities & Rent,United States,Services,-51182,-58094,-59205
2024-06-01,15,Operating Expenses,Depreciation & Amort.,United States,Services,-47682,-53253,-50249
2024-06-01,16,Other,Interest Income,United States,Services,10939,11619,10973
2024-06-01,17,Other,Interest Expense,United States,Services,-24370,-27111,-27291
2024-06-01,18,Other,FX Gain/(Loss),United States,Services,-13666,-14523,-14068
2024-06-01,19,Other,Other Income/(Expense),United States,Services,-18156,-19365,-19330
2024-06-01,20,Other,Income Tax,United States,Services,-81722,-87141,-87968
2024-06-01,1,Revenue,Product Revenue,United States,Hardware,859580,914442,901473
2024-06-01,2,Revenue,Subscription Revenue,United States,Hardware,645443,685832,656670
2024-06-01,3,Revenue,Service Revenue,United States,Hardware,373490,400068,406794
2024-06-01,4,Revenue,Support & Maintenance,United States,Hardware,187031,205750,201759
2024-06-01,5,COGS,Direct Materials,United States,Hardware,-314938,-335654,-339662
2024-06-01,6,COGS,Direct Labor,United States,Hardware,-289054,-309835,-305912
2024-06-01,7,COGS,Cloud & Hosting,United States,Hardware,-137870,-154917,-150785
2024-06-01,8,COGS,Support Delivery,United States,Hardware,-105868,-116188,-111460
2024-06-01,9,Operating Expenses,Sales,United States,Hardware,-220250,-232376,-221923
2024-06-01,10,Operating Expenses,Marketing,United States,Hardware,-180352,-193647,-192568
2024-06-01,11,Operating Expenses,Research & Development,United States,Hardware,-253031,-284015,-270013
2024-06-01,12,Operating Expenses,General & Administrative,United States,Hardware,-156935,-167827,-167148
2024-06-01,13,Operating Expenses,IT & Systems,United States,Hardware,-79223,-90368,-88421
2024-06-01,14,Operating Expenses,Facilities & Rent,United States,Hardware,-72194,-77459,-77932
2024-06-01,15,Operating Expenses,Depreciation & Amort.,United States,Hardware,-66837,-71004,-70757
2024-06-01,16,Other,Interest Income,United States,Hardware,14247,15492,14717
2024-06-01,17,Other,Interest Expense,United States,Hardware,-31673,-36147,-34417
2024-06-01,18,Other,FX Gain/(Loss),United States,Hardware,17766,19365,18512
2024-06-01,19,Other,Other Income/(Expense),United States,Hardware,24337,25820,24929
2024-06-01,20,Other,Income Tax,United States,Hardware,-101839,-116188,-115746
2024-06-01,1,Revenue,Product Revenue,Nordics,Software,318916,357204,341163
2024-06-01,2,Revenue,Subscription Revenue,Nordics,Software,248285,267903,263959
2024-06-01,3,Revenue,Service Revenue,Nordics,Software,139577,156277,158082
2024-06-01,4,Revenue,Support & Maintenance,Nordics,Software,71186,80371,78804
2024-06-01,5,COGS,Direct Materials,Nordics,Software,-116885,-131115,-132540
2024-06-01,6,COGS,Direct Labor,Nordics,Software,-106571,-121029,-121009
2024-06-01,7,COGS,Cloud & Hosting,Nordics,Software,-56205,-60515,-58137
2024-06-01,8,COGS,Support Delivery,Nordics,Software,-40177,-45386,-46231
2024-06-01,9,Operating Expenses,Sales,Nordics,Software,-83630,-90772,-88926
2024-06-01,10,Operating Expenses,Marketing,Nordics,Software,-67494,-75643,-73131
2024-06-01,11,Operating Expenses,Research & Development,Nordics,Software,-101872,-110943,-111731
2024-06-01,12,Operating Expenses,General & Administrative,Nordics,Software,-60092,-65557,-62865
2024-06-01,13,Operating Expenses,IT & Systems,Nordics,Software,-31955,-35300,-34146
